chain,project,symbol,tvlUsd,apyBase,apyReward,apy,apyPct7D,mu,sigma,count,predictedClass,predictedProbability,pool
Ethereum,uniswap-v3,SNX-WETH,548904,5.6535,,5.6535,2.02591,24.03136,1.2458,967,Stable/Up,76.0,5c2c54f4-5f66-4de3-8e6f-c75b7a9833c3
Arbitrum,uniswap-v3,ARB-USDT,106606,5.64991,,5.64991,4.79222,29.31943,1.70141,513,Stable/Up,57.99999999999999,04f58a19-c5ed-4eab-bc8f-7ee93885549a
Ethereum,pendle,UNIETH,575488,5.64775,,5.64775,-1e-05,5.64776,0.0,13,Down,62.0,906fa6ca-c20e-47de-9156-0f4eee88f176
Polygon,compound-v3,USDC,1101509,3.41394,2.23305,5.64699,-4.05961,7.5911,0.19338,561,Stable/Up,60.0,a17d8b32-48cb-4446-aad7-ed4278f144e0
BSC,goose-finance,WBNB-BUSD,36443,,5.64482,5.64482,-0.14211,3.54298,0.16288,820,Down,72.0,caff7276-cf72-49c7-933e-b9a2e2aa69ad
Avalanche,joe-dex,BELIEVE-WAVAX,10052,5.64145,,5.64145,,36.58392,3.79134,7,Stable/Up,72.0,db2bcb37-cc2d-4dfd-a542-c08bcde65845
Arbitrum,aura,RSETH-WETH,1863708,,5.64105,5.64105,0.4514,8.56775,0.43324,155,Down,53.0,99dc0af4-4f95-46be-8429-9876e89ef8b4
Ethereum,pendle,RSWETH,14757455,4.54992,1.09052,5.64044,0.52538,7.29348,0.17489,79,Down,54.0,60ccfc6b-d4eb-4af7-bd09-77259ec89400
Ethereum,uniswap-v3,OHM-WETH,5531739,5.63883,,5.63883,-6.80038,6.5026,0.56362,480,Down,63.0,dea7e764-1c6a-4d51-bb35-5f428fc85b57
Ethereum,pendle,RSWETH,139293,5.63258,,5.63258,0.0,5.62154,0.00173,10,Down,55.00000000000001,8cf09aa5-c2fc-4892-a971-09deddb65fc7
Arbitrum,sushiswap,WETH-LINK,82145,5.62485,0.0,5.62485,1.90517,5.40196,0.38578,989,Down,81.0,524636af-36c6-41da-a0a8-4b7cce0c9d8f
Ethereum,uniswap-v2,BOTTO-WETH,5960989,5.62133,,5.62133,2.65263,3.80577,0.48687,962,Down,56.00000000000001,850a24e1-d2bb-48fa-8481-85c7cf593501
Ethereum,loopring,LRC-ETH,3349536,,,5.62,3.43,2.91871,0.18,870,Stable/Up,55.00000000000001,755158b4-5c9e-4806-b91d-b74900ee4cea
BSC,cian-vaults,WBETH,99772,,0.0,5.62,-0.02,8.69569,0.20395,376,Stable/Up,60.0,584f028a-4dc3-4a94-8510-963da6b48abd
Arbitrum,beefy,STATAARBUSDCN-STATAARBUSDTN,149865,,,5.6197,-9.48422,13.27275,0.26568,210,Stable/Up,79.0,ed5d5fda-e51e-4076-a519-576159fc78c9
Avalanche,joe-v2.1,AUSD-USDT,6162818,5.61952,,5.61952,2.55168,2.97934,0.16568,106,Down,53.0,39d3821c-33d4-4db6-8c98-114f373cf0d1
Polygon,aave-v3,EURS,548491,5.61098,,5.61098,-1.51672,3.14168,0.22969,834,Down,65.0,e95cadc3-0ea7-4932-9b80-a8baba80eff4
Ethereum,curve-dex,USDC-ETHC,17879,5.61,0.0,5.61,-41.67,10.10351,0.40286,30,Down,60.0,02fa9fdb-a740-49c6-91b2-d7a9f8174285
Solana,orca,SOL-ATLAS,65949,5.60989,,5.60989,-2.53003,99.24284,2.77294,504,Down,68.0,c6c358b8-9838-4253-a313-9cd12a270421
Arbitrum,notional-v3,FWSTETH,367307,5.60981,,5.60981,0.00814,5.24094,0.05642,163,Down,70.0,19bfb641-6b43-4192-8d73-0011c1f6e941
Sui,cetus-amm,FROG-SUI,15182,5.60785,0.0,5.60785,3.43512,55.39187,5.2413,18,Stable/Up,65.0,202bc6e9-5e73-4424-a0b4-5edb227db795
Ethereum,yearn-finance,LUSD,48906,5.60708,0.0,5.60708,0.91183,4.41205,0.12193,1011,Down,63.0,4754f09c-1e2b-4a46-8cc4-b1a0bd77840e
Ethereum,pendle,RSETH,5389638,3.90749,1.69816,5.60565,1.08294,8.21537,0.25963,21,Stable/Up,66.0,b660642f-c7c8-4c90-9e27-66c2410cbaf1
Polygon,quickswap-dex,SWASH-USDT,42496,5.60265,,5.60265,2.44079,3.08924,0.215,977,Down,70.0,884a56b5-858a-476f-a83e-70cfb728c12c
Cardano,minswap,ADA-TRTL,179381,1.02,4.58,5.6,-0.18,4.82939,0.08745,71,Down,63.0,a7910b9d-0adb-4d68-9719-3d11d55fa88a
Base,extra-finance,WEETH.BASE-WETH,51965,5.59987,,5.59987,-0.62761,6.76754,0.12617,186,Down,67.0,ebd9c627-a906-464a-a4b1-dd8434ee5076
Avalanche,joe-v2.1,ARROW-WAVAX,20963,5.5983,,5.5983,3.89658,3.86795,0.22494,11,Down,76.0,1a52ef82-628d-4918-a6ae-60d4cfd2ebcf
Ethereum,dforce,DAI,52110,5.59213,0.0,5.59213,0.0,5.37523,0.07042,871,Down,64.0,0e84ae63-98ff-4b67-a355-9c3e1046e95c
Solana,orca,LST-SOL,22252,5.59145,,5.59145,2.3857,8.58259,0.67941,420,Down,73.0,b9ebb51e-9a9f-4882-9677-a18f0e7d5166
Base,uniswap-v3,NKBR-WETH,16179,5.59102,,5.59102,,72.27139,4.1231,3,,,cf692527-e22c-4788-b9ac-d0272d82688d
Optimism,beefy,VELOV2-WSTETH,20225,,,5.5796,-0.42541,36.97302,1.53115,373,Stable/Up,87.0,b87fbbc3-1355-46a6-878d-9eabeeb44e03
Optimism,exactly,USDC,568188,5.57929,,5.57929,-0.75578,8.83848,0.26368,218,Stable/Up,80.0,8504f261-4f90-4172-9594-b5ca76e3a4a4
BSC,pancakeswap-amm,CAKE-BUSD,590335,5.57854,0.0,5.57854,0.0,10.6998,0.39272,872,Stable/Up,75.0,062c254e-89bf-44ab-8b04-242bf5916f0a
Arbitrum,gamma,WETH-USDC,77191,5.57831,0.0,5.57831,2.26155,4.01552,0.22324,486,Down,70.0,56f53349-9b5c-4a85-a1c3-8f883ad8915b
Cardano,minswap,ADA-PAVIA,101074,5.57,0.0,5.57,1.89,3.43838,0.08934,266,Down,71.0,d8deb7b9-ec02-4fcd-adf0-4c079217445f
Ethereum,uniswap-v2,THREE-WETH,512666,5.56753,,5.56753,-1.11444,26.31737,1.5841,210,Stable/Up,56.99999999999999,e9cff0f4-0bed-4ae4-b30f-608f94a9a403
Ethereum,aave-v3,USDS,30063828,5.55227,,5.55227,1.16834,1.82099,0.08798,57,Down,74.0,e65588a1-27ad-4e20-9232-68a6cfaccf63
Ethereum,convex-finance,LUSD-FRAXBP,108190,5.55,0.0,5.55,5.18,4.41444,0.3525,850,Down,69.0,c3b238b8-e1b8-43a5-8079-99a73f3dc981
Ethereum,sushiswap,WETH-IMX,213917,5.54864,0.0,5.54864,-5.40812,10.97396,0.54532,1017,Stable/Up,53.0,d1981d7c-132e-4801-9c2c-7e57e5cd66ee
zkSync Era,pancakeswap-amm-v3,USDC-ZK,167631,0.0,5.54689,5.54689,-1.53605,18.91082,0.93389,163,Stable/Up,71.0,7d23d823-5fe9-48ba-ad6f-c534345fe398
Solana,psyoptions,STSOL,130223,5.54643,,5.54643,0.0,7.85486,0.25221,795,Stable/Up,61.0,bfe0b0e8-1fe3-46e8-832a-657d45e43c5b
BSC,mdex,USDC-USDT,76502,0.04214,5.50285,5.54499,0.00798,2.62954,0.19053,817,Down,84.0,f70fb8fa-8878-49d7-88b5-e8e930864e52
Arbitrum,beefy,EZETH-WETH,40706,,,5.5373,1.80414,7.90472,0.53499,149,Down,71.0,02333eeb-42a7-4bb1-a15f-02fcd7ad4357
Ethereum,notional-v3,FDAI,18765,5.53711,,5.53711,0.0,5.53711,0.0,40,Down,65.0,c46c58cb-b9f2-4d32-a1c0-2110987bfa14
Polygon,beefy,USDCE,2082053,,,5.5353,0.31607,8.32848,0.20982,388,Stable/Up,66.0,f5a77f34-35f4-4cf0-af76-60485a2d6f42
Arbitrum,tender-finance,USDC,12407,5.53372,,5.53372,,9.67932,0.31671,412,Stable/Up,65.0,f152ff88-dd31-4efb-a0a9-ad26b5536cc7
Ethereum,sushiswap,MANA-WETH,89948,5.53356,0.0,5.53356,2.77099,5.8939,0.544,973,Down,95.0,b0193dac-f90c-4e1f-94af-efbb09d61f75
Polygon,aave-v3,DAI,819896,5.53201,,5.53201,-3.82548,4.27968,0.21506,836,Down,67.0,c57bdc97-3100-41ff-845f-075363f6f5a4
Ethereum,uniswap-v2,BXX-WETH,444356,5.53183,,5.53183,-2.60052,5.14473,0.64462,790,Down,78.0,27eadf89-9f87-4a1f-a637-62420a8b14d3
Solana,orca,SOL-JITOSOL,2107954,5.52644,,5.52644,-5.2886,3.07045,0.28602,658,Down,56.00000000000001,923d43c8-455e-4196-9b5d-afcc966c934f
Avalanche,benqi-staked-avax,SAVAX,434405145,5.52614,,5.52614,-0.00447,5.59577,0.00224,147,Down,61.0,3790c3e5-8644-4f6b-8feb-12434d8b99f9
Base,uniswap-v3,BASED-WETH,316426,5.5255,,5.5255,,37.42466,2.85758,40,Down,56.00000000000001,bfa76009-20ea-4b8a-b7e5-17a263061ea2
Ethereum,uniswap-v3,MANA-WETH,31465,5.52258,,5.52258,5.26074,5.8834,0.6648,921,Down,80.0,4d53c891-e66d-47d0-856d-fbb4d2f04b83
Avalanche,joe-dex,BOOTY-WAVAX,67277,5.52128,,5.52128,-86.84845,69.50327,2.15653,57,Stable/Up,63.0,6edeec3f-4bb8-417d-9b70-e5226e907307
Polygon,steer-protocol,WMATIC-WETH,15093,5.52,,5.52,0.0,5.78559,0.07097,182,Down,57.99999999999999,595b78b3-2752-4ca9-b5df-3fe742d263e2
Arbitrum,beefy,DOLA-USDC,33819,,,5.51222,5.32884,19.33328,0.45163,471,Stable/Up,55.00000000000001,b5501c9e-68aa-4422-b45a-061d4fff24f0
Arbitrum,uniswap-v3,WETH-THALES,339005,5.50837,,5.50837,-2.23817,20.11189,1.44752,505,Stable/Up,68.0,5bf600ec-12ff-4d72-93dc-025b4fc377e9
Arbitrum,balancer-v2,STATAARBUSDCN-GHO,2074754,0.42207,5.08514,5.50721,1.04296,2.48908,0.10008,43,Down,71.0,b3c4b0c8-a57b-4ed0-867b-14cf16069b64
Optimism,aave-v3,DAI,298210,5.50646,,5.50646,-2.23848,4.22109,0.20722,836,Stable/Up,52.0,363e5586-cfee-402c-9b0b-be70366052e8
Linea,lynex-fusion,SAMM-USDC-USDT,102374,5.50525,0.0,5.50525,0.18004,6.27734,0.08398,65,Down,81.0,66869614-e5be-4584-aeab-e4bdf7120ca8
Optimism,exactly,USDC,568188,5.50513,,5.50513,5.50513,7.15532,0.10042,175,Stable/Up,68.0,c6c313a3-32bb-4208-9320-bbc6479b66cc
Ethereum,sushiswap,WETH-GODS,28521,5.50281,0.0,5.50281,-0.82237,21.73031,1.07322,1003,Down,56.00000000000001,ad3cca53-09c0-4c50-bbaf-ed50420f9b78
Ethereum,pendle,APXETH,353961,5.47403,0.02824,5.50228,-0.18451,11.22366,0.49009,249,Stable/Up,52.0,c19c0aa3-3b0c-4216-a54a-d1473c6b639a
Arbitrum,steer-protocol,SNSY-WETH,110295,5.5,,5.5,-16.77,11.39951,0.57678,194,Down,60.0,57880251-2701-426b-8523-d1d76bf1d5cb
Solana,orca,SOL-IO,828881,5.4999,,5.4999,-150.15142,112.88922,3.78154,170,Stable/Up,68.0,7b3630ab-395d-4dc0-82a0-376416ca832e
Ethereum,uniswap-v2,PLX-WETH,404157,5.49838,,5.49838,4.1341,9.88293,0.60736,266,Down,63.0,d97eb8b2-af71-40cb-8fd7-05eb1cafc2f5
Defichain,defichain-dex,BITI-DUSD,78278,0.00863,5.48366,5.49228,-4.02911,7.61597,0.32349,632,Down,65.0,525102bf-838d-43e7-ba32-5e084ddfd3c5
Ethereum,uniswap-v2,WETH-DEFROGS,363511,5.4917,,5.4917,4.07797,14.58423,2.16937,291,Down,64.0,414ec487-5828-4943-a587-0c78ac35931c
Solana,orca,JUP-GUGA,36553,5.48678,,5.48678,-0.57346,7.07712,0.3625,261,Down,81.0,2bbef89b-ba23-4326-bc60-908b5119142b
Ethereum,uniswap-v3,AVT-WETH,153457,5.48677,,5.48677,,8.66929,0.8272,792,Down,72.0,20699623-6738-498e-b6b1-d2849a1cd5ff
Ethereum,uniswap-v2,PIKA-USDT,312357,5.48213,,5.48213,0.00525,24.42602,1.46367,246,Stable/Up,67.0,d740fe79-ea67-4a34-bf36-a266b75847fc
Ethereum,pendle,RSWETH,139293,5.00309,0.47316,5.47625,0.67166,5.26716,0.01834,10,Down,56.99999999999999,9c15e395-7ced-43bd-9429-89c82c89cead
Polygon,uniswap-v3,USDC-WIFI,270445,5.47568,,5.47568,1.32932,30.23312,1.8509,358,Stable/Up,60.0,73039801-76de-47cb-933b-2d3abfc3ea8a
Arbitrum,uniswap-v3,WETH-FOX,58716,5.47412,,5.47412,-3.30702,8.98657,0.7274,93,Down,77.0,51ae8dc1-762f-4f88-a3d2-f4896a61a1d8
Ethereum,morpho-blue,GTAUSDC,1033930,5.47038,0.0,5.47038,2.98673,3.40923,0.08462,69,Down,66.0,25c77668-5435-4ceb-aff5-26a1f10564cb
Arbitrum,harvest-finance,WSTETH-SFRXETH,16306,5.47,,5.47,1.46,9.69183,0.14521,80,Stable/Up,77.0,2ddaa7fd-620a-44dd-8895-dff5eac3efe5
Ethereum,pendle,PWBTC,118986,5.46906,0.0,5.46906,,5.0386,0.03028,2,,,e8e1b5c2-82d4-48b0-aa9b-44a20bbfc2e7
Ethereum,fungify,FPUNKS,127726,5.46877,,5.46877,0.0,3.67651,0.07553,220,Down,71.0,37b8b646-202b-4c29-9e80-d6c54b7a7d50
Optimism,synapse,NETH-WETH,2150145,,,5.46829,0.17738,8.39841,0.16952,622,Stable/Up,80.0,4db98036-6273-416a-a80f-b862de54fe4a
Avalanche,benqi-lending,DAI.E,467457,5.46738,0.0,5.46738,0.19893,4.49127,0.17604,839,Down,78.0,fe7bd728-9e1d-450a-8960-280712c8c7a2
Optimism,beefy,FRAX-MAI,10841,,,5.46561,1.28414,16.0964,0.50963,465,Stable/Up,87.0,a7080f5a-de53-4220-bccd-bda1038b8047
Ethereum,curve-dex,XAI-FRAXBP,533384,0.18,5.28463,5.46463,0.77979,3.34122,0.07626,736,Down,66.0,c6423a3d-2fa1-43b0-8460-fcd9034ab3e0
Gnosis,aura,USDC.E-USDT-SDAI,2695314,,5.46312,5.46312,0.67018,5.12014,0.20661,130,Stable/Up,57.99999999999999,6419c1fa-9637-4fa1-9261-6a6f85c8da9c
Ethereum,uniswap-v2,SUSHI-WETH,345084,5.46131,,5.46131,5.46131,8.01596,0.76977,918,Down,67.0,40506c81-50e7-4063-bc4d-0e3e16031ea7
Ethereum,concentrator,ACVX,3374085,,,5.46,-0.86,10.75528,0.21189,397,Stable/Up,77.0,52847ae0-4e76-49e3-871e-8bf5917300e5
Aptos,cetus-amm,USDC-USDC,14174,5.46,0.0,5.46,-3.41,8.22538,0.37587,311,Down,53.0,719280ee-f445-4276-aa05-ad69114a2756
Polygon,uniswap-v3,WMATIC-ULT,317989,5.45809,,5.45809,2.72267,1.93533,0.12776,211,Down,82.0,f9c11c33-8cc9-4c90-86a0-9300285a3748
ICP,icpswap,JBBJ-ICP,45022,5.45756,,5.45756,-6.76886,26.20941,0.93862,31,Down,53.0,3d62e96d-e383-4e17-acb7-933e491b2bbc
BSC,grizzlyfi-hives,ETH-USDT,15610,5.45623,0.0,5.45623,0.0,4.41284,0.16404,604,Down,70.0,ff2c5097-01ef-460c-975e-73f155e4419c
Arbitrum,beefy,USDT,17615,,,5.45217,,9.05235,0.20501,4,,,bae54075-2a26-43f2-816f-93fc67c6b511
Ethereum,uniswap-v2,USDC-USDT,4704422,5.45191,,5.45191,5.45191,2.83149,0.31841,928,Stable/Up,56.00000000000001,e2c09021-0aa8-42b6-a596-5422c2e35399
Optimism,uniswap-v3,XMT-WETH,10053,5.44993,,5.44993,,3.2274,0.22312,162,Down,55.00000000000001,f64f8f50-9c11-4238-9104-423c0912725a
Base,aerodrome-v1,WEETH.BASE-WETH,13724440,,5.4491,5.4491,-0.59228,6.80053,0.14142,215,Stable/Up,73.0,e5a294f2-fc5e-40dc-bd2d-5f9c52c99e3d
Arbitrum,notional-v3,NWBTC,35141,5.44134,0.0,5.44134,-9.62813,5.84561,0.38596,325,Down,88.0,09c18b98-d44e-47a2-9045-6626bdee2e08
BSC,grizzlyfi-hives,BTCB-BUSD,29736,5.43715,0.0,5.43715,0.0,4.50983,0.1478,604,Down,70.0,f96981ce-d4f6-4ace-be46-fc499f595022
Arbitrum,notional-v3,NFRAX,11207,5.43434,0.0,5.43434,-0.30511,12.31044,0.29569,353,Stable/Up,60.0,6673ed51-44c8-4cad-bade-9b5e042e114a
Ethereum,sommelier,WETH-EETH-WEETH,163053,5.43023,0.0,5.43023,,8.54598,0.69405,223,Down,75.0,1ddd1d50-48ac-435a-8f1c-8c4471a4b0ab
Avalanche,yield-yak-aggregator,YAK,1047288,5.43,,5.43,-0.11,6.41216,0.21765,844,Stable/Up,56.99999999999999,f2b69026-34c2-4933-825b-cd3f6dd5fab3
Arbitrum,camelot-v3,SPA-USDS,79565,5.42935,,5.42935,-253.78915,9.29107,0.80901,136,Down,75.0,a4b4ebc6-386d-40ba-9eff-99babe641986
Arbitrum,notional-v3,PUSDC,167953,5.42655,,5.42655,3.20998,5.74933,0.27103,353,Down,70.0,d06b5b4a-1ac1-4ec0-8d09-5a6badfbf078
BSC,grizzlyfi-hives,USDT-USDC,18267,5.42371,0.0,5.42371,0.0,6.05629,0.06119,584,Down,64.0,03236876-efab-46c2-b19a-378f811d89fc
Ethereum,sushiswap,BAND-WETH,306342,5.42192,0.0,5.42192,4.50608,5.00672,0.43112,1003,Down,72.0,67bea106-ffff-424e-ba2e-9962f54cd864
Polygon,merkl,USDC-USDT,787913,,5.42059,5.42059,0.67251,6.12842,0.1279,321,Down,75.0,b774841b-f8fe-47f0-8931-161fd2270821
Ethereum,uniswap-v2,FUKU-WETH,213590,5.42019,,5.42019,3.25898,87.90299,3.96502,111,Stable/Up,80.0,ed4aaf42-358e-464e-ad46-2f8240a56607
Cardano,minswap,ADA-FREN,449484,5.42,0.0,5.42,0.28,28.31068,1.04919,266,Stable/Up,90.0,7e940d34-e847-4fdc-b10e-2e39df9cc70f
BSC,alpaca-leveraged-yield-farming,BNB-BUSD,258535,,,5.41955,-0.23419,11.89754,0.53402,926,Stable/Up,76.0,05271a03-ce2f-4024-9219-2dfb6f0af5b1
Optimism,exactly,USDC,568188,5.41878,,5.41878,0.15771,4.33596,0.09298,35,Down,50.0,30b43fb3-c107-44b0-9697-f418235c638c
Polygon,sushiswap,WMATIC-AURUM,104105,5.41682,0.0,5.41682,1.31213,2.17203,0.14621,1000,Down,76.0,e844849d-b396-4dfa-84b8-b01384ec4bff
Ethereum,uniswap-v2,SORA-WETH,308883,5.41354,,5.41354,-1.45765,22.05248,2.54886,282,Down,59.0,e9068012-4ef5-4bc9-a030-0b59076041f3
BSC,apeswap-amm,DOT-WBNB,12899,5.35834,0.05426,5.41259,3.41435,1.84795,0.08211,686,Down,79.0,045fed5e-052d-456c-ac79-3c58e763e780
Optimism,beefy,EZETH-WSTETH,13800,,,5.41248,4.15957,3.65547,0.24721,87,Down,70.0,9298dc12-ae03-4058-9cc7-7f430f779869
Vechain,verocket,VVET-SHT,31707,,,5.41,2.23,5.90242,0.49391,277,Down,86.0,7cbfd335-9dc6-4e75-add2-018794d68ad3
Arbitrum,synapse,NETH-WETH,6457978,,,5.40728,-0.32445,8.01639,0.15081,622,Stable/Up,79.0,727893f3-65e4-46e9-bf80-dae2549317e3
Polygon,uniswap-v3,WETH-BAL,13513,5.40678,,5.40678,4.1035,38.05138,1.46107,503,Stable/Up,96.0,dc8ed604-cc6b-42a4-955a-a5c8bfe50013
Ethereum,morpho-compound,USDC,119117,5.40052,,5.40052,2.04836,3.43783,0.11623,828,Down,64.0,b718e8ee-c749-4152-9f3d-e3f9ff2da564
Ethereum,compound-v2,USDC,6288653,5.40047,0.0,5.40047,0.03537,3.12629,0.11154,1019,Stable/Up,64.0,cefa9bb8-c230-459a-a855-3b94e96acd8c
Polygon,uniswap-v3,WETH-OM,69398,5.40007,,5.40007,1.37457,10.95852,1.26826,356,Down,52.0,6bed0149-d9a1-4fa4-b183-cfaca636cf39
